,Título,Unidad Académica,Área temática,Propósito general del curso,Resultados de aprendizaje esperados,Nivel,Curso individual o programa,proposito_norm,ruta_img
0,Diseno y Analisis de Algoritmos,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Aunque la capacidad de procesamiento y almacenamiento de los computadores sigue aumentando, tambien es cierto que los volumenes de datos y la complejidad de las tareas asignadas a estos es cada vez mayor. Adicionalmente, desde mucho antes de la aparicion del computador se han estudiado cientos de problemas de gran aplicacion practica, para los cuales no se conocen procesos algoritmicos eficientes ni se cree que aparezcan en el futuro. Los cientificos en computacion debe n estar en capacidad de estimar matematicamente la complejidad computacional de los problemas a los que se enfrenta en su actividad profesional y, ademas debe ser capaz de proponer, evaluar y elegir acertadamente soluciones para esos de problemas, siendo consciente de antemano, del desempeno que tendran una vez esten impl eme ntadas. El objetivo del curso es estudiar los principios fundamentales de la solucion de problemas a traves de algoritmos computacionales. El curso aborda dos aspectos principales: el analisis de algoritmos y el diseno de algoritmos eficientes. El analisis de algo ritmos estudia las herramientas matematicas que permiten caracterizar la eficacia y eficiencia en terminos de tiempo y memoria. El diseno de algoritmos estudia diversos tipos de problemas y tecnicas para resolverlos de manera eficiente. Este es un curso intermedio de algoritmos hace enfasis en la ensenanza de tecnicas para el diseno y analisis de algoritmos eficientes, con un enfoque fuerte en metodos de aplicacion. Los temas incluyen tecnicas como: divide y venceras, vuelta atras (backtracking ), aleatorizacion, programacion dinamica, algoritmos voraces, mejora incremental y complejidad.",X,,Programa,aunque capacidad procesamiento almacenamiento computadores sigue aumentando tambien cierto volumenes datos complejidad tareas asignadas cada vez mayor adicionalmente aparicion computador estudiado cientos problemas gran aplicacion practica cuales conocen procesos algoritmicos eficientes cree aparezcan futuro cientificos computacion debe capacidad estimar matematicamente complejidad computacional problemas enfrenta actividad profesional ademas debe ser capaz proponer evaluar elegir acertadamente soluciones problemas consciente antemano desempeño tendran vez esten impl eme ntadas objetivo curso estudiar principios fundamentales solucion problemas traves algoritmos computacionales curso aborda dos aspectos principales analisis algoritmos diseño algoritmos eficientes analisis ritmos estudia herramientas matematicas permiten caracterizar eficacia eficiencia terminos tiempo memoria diseño algoritmos estudia diversos tipos problemas tecnicas resolverlos manera eficiente curso intermedio algoritmos hace enfasis enseñanza tecnicas diseño analisis algoritmos eficientes enfoque fuerte metodos aplicacion temas incluyen tecnicas divide venceras vuelta atras (backtracking aleatorizacion programacion dinamica algoritmos voraces mejora incremental complejidad,/fondoCartas/img10.jpg
1,Teoria de grafos,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"La teoria de grafos es la formalizacion y presentacion matematica rigurosa de redes interconectadas compuestas por lineas y nodos, atendiendo a las relaciones de conectividad, llamadas topologia, y a los valores numericos asociados con los nodos y las line as. La teoria de grafos incluye una serie de elementos matematicos fundamentales como el analisis matricial y la combinatoria, pero a la vez incluye elementos de computacion como algoritmos y complejidad. Es un area de gran relevancia en ciencia y tecnolog ia. Su correcto dominio es la puerta de entrada a aplicaciones de actualidad como gestion de trafico y redes informaticas.",X,,Programa,teoria grafos formalizacion presentacion matematica rigurosa redes interconectadas compuestas lineas nodos atendiendo relaciones conectividad llamadas topologia valores numericos asociados nodos line teoria grafos incluye serie elementos matematicos fundamentales analisis matricial combinatoria vez incluye elementos computacion algoritmos complejidad area gran relevancia ciencia tecnolog correcto dominio puerta entrada aplicaciones actualidad gestion trafico redes informaticas,/fondoCartas/img10.jpg
2,Fundamentos de Sistemas Digitales,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"Esta materia introduce al estudiante en las bases hardware y la organizacion de los sistemas digitales. Como tal, es un curso de trabajo practico para incorporacion y puesta en contexto dentro del medio mencionado. El curso tiene un amplio recorrido comenzando con fundamentos basicos de electronica, pasando por sistemas de numeracion y funcionamiento de compuertas logicas, y llegando hasta la organizacion general de bloques combinacionales y secuenciales . No se enfatiza en la fisica de la microelectronica, se enfatiza en la concepcion y operatividad logica que son el nucleo del funcionamiento de los sistemas digitales en una gran variedad de presentaciones. Este curso permite la incorporacion del estudiante en un vasto mundo de posibilidades tecnologicas, al combinar el uso de hardware y software para la solucion de problemas.",X,,Programa,materia introduce estudiante bases hardware organizacion sistemas digitales tal curso trabajo practico incorporacion puesta contexto dentro medio mencionado curso amplio recorrido comenzando fundamentos basicos electronica pasando sistemas numeracion funcionamiento compuertas logicas llegando organizacion general bloques combinacionales secuenciales enfatiza fisica microelectronica enfatiza concepcion operatividad logica nucleo funcionamiento sistemas digitales gran variedad presentaciones curso permite incorporacion estudiante vasto mundo posibilidades tecnologicas combinar uso hardware software solucion problemas,/fondoCartas/img6.jpg
3,Calculo 3,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,Este curso tiene como proposito acercar a los estudiantes a los conceptos fundamentales del calculo en varias variables y vectorial.,X,,Programa,curso proposito acercar estudiantes conceptos fundamentales calculo varias variables vectorial,/fondoCartas/img7.jpg
4,Procesamiento  de Senales  e Imagenes,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este curso presentara una introduccion al analisis espectral de senales y al uso de filtros digitales. Para ello, el curso contara con una conceptualizacion de senales y sistemas discretos en el tiempo, la Transformada Z y el dominio de la frecuencia, se abordara el diseno e implementacion de filtros digitales, y se llevara a cabo el estudio de la Transformada Discreta de Fourier y la Transformada Rapida de Fourier. El curso busca:",X,,Programa,curso presentara introduccion analisis espectral señales uso filtros digitales ello curso contara conceptualizacion señales sistemas discretos tiempo transformada dominio frecuencia abordara diseño implementacion filtros digitales llevara cabo estudio transformada discreta fourier transformada rapida fourier curso busca,/fondoCartas/img3.jpg
5,Redes  de Computadores,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este es un primer curso en redes de computadores que introduce al estudiante en los conceptos de infraestructura de comunicaciones y protocolos de comunicaciones para redes: LAN, WLAN, WAN y telefonia celular LTE . El curso cubre la arquitectura en capas que conforma la red Internet, desde la capa de aplicacion hasta la capa fisica, pasando por las capas de enlace, red y transporte. El curso incorpora modulos donde se requieren habilidad de programacion, asi como herramientas de analisis probabilistico para determinar medidas de confiabilidad y desempeno en redes. El curso busca formar al estudiante en los conceptos fundamentales de las redes de computadores, su estructura, principios de diseno, protocolos de comunicacion y algoritmos.",X,,Programa,primer curso redes computadores introduce estudiante conceptos infraestructura comunicaciones protocolos comunicaciones redes lan wlan wan telefonia celular lte curso cubre arquitectura capas conforma red internet capa aplicacion capa fisica pasando capas enlace red transporte curso incorpora modulos requieren habilidad programacion asi herramientas analisis probabilistico determinar medidas confiabilidad desempeño redes curso busca formar estudiante conceptos fundamentales redes computadores estructura principios diseño protocolos comunicacion algoritmos,/fondoCartas/img3.jpg
6,Energia y Medio Ambiente,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"El curso de Energia y Medio Ambiente es de caracter teorico, esta disenado para dar a los estudiantes las herramientas para analizar y comprender la situacion actual de la matriz energetica mundial y nacional y lo que pueden significar para el medio ambien te, adicionalmente, buscara proporcionar a los estudiantes una amplia comprension de los sistemas de energia, sus desafios, particularmente con respecto al medio ambiente, y los posibles caminos hacia un futuro de energia sostenible. El curso busca:",X,,Programa,curso energia medio ambiente caracter teorico diseñado dar estudiantes herramientas analizar comprender situacion actual matriz energetica mundial nacional pueden significar medio ambien adicionalmente buscara proporcionar estudiantes amplia comprension sistemas energia desafios particularmente respecto medio ambiente posibles caminos hacia futuro energia sostenible curso busca,/fondoCartas/img9.jpg
7,Simulacion,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"Esta asignatura introduce a la teoria de colas o teoria de lineas de espera, asi como a herramientas computacionales para el modelaje y simulacion de sistemas, especialmente sistemas logisticos, de manufactura y servicios. El curso inicia la explicacion de los procesos de llegada, procesos de salida, se explica la notacion de Kendal l-Lee junto con la propiedad de perdida de memoria y se abordan diferentes modelos de teoria de colas. Luego, el curso se enfoca en la simulacion de eventos discretos , presenta herramientas de analisis de datos para la parametrizacion de modelos y para apoyar la toma de decisiones a partir de sus resultados. El curso se enfoca en tecnicas estadisticas de analisis de datos y herramientas computacionales de modelaje de sistemas basado en simulacion de eventos discretos. Se consideran en particular sistemas logisticos, de manufactura y servicios.",X,,Programa,asignatura introduce teoria colas teoria lineas espera asi herramientas computacionales modelaje simulacion sistemas especialmente sistemas logisticos manufactura servicios curso inicia explicacion procesos llegada procesos salida explica notacion kendal l-lee junto propiedad perdida memoria abordan diferentes modelos teoria colas luego curso enfoca simulacion eventos discretos presenta herramientas analisis datos parametrizacion modelos apoyar toma decisiones partir resultados curso enfoca tecnicas estadisticas analisis datos herramientas computacionales modelaje sistemas basado simulacion eventos discretos consideran particular sistemas logisticos manufactura servicios,/fondoCartas/img5.jpg
8,Logica para ciencias de la computacion,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"En este curso examinaremos en gran detalle uno de los sistemas formales mas sencillos, a saber, la logica proposicional bivalente. Se presentara este sistema desde una perspectiva de ciencias de la computacion, resaltando la codificacion de situaciones, las nociones y teoremas basicos, y el componente algoritmico de las funciones recursivas y de los algoritmos de busqueda de modelos (SAT solvers) para la resolucion de problemas aplicados. Mediante este estudio veremos los estrechos vinculos entre las matematicas, la computacion y el razonamiento.",X,,Programa,curso examinaremos gran detalle sistemas formales mas sencillos saber logica proposicional bivalente presentara sistema perspectiva ciencias computacion resaltando codificacion situaciones nociones teoremas basicos componente algoritmico funciones recursivas algoritmos busqueda modelos (sat solvers) resolucion problemas aplicados mediante estudio veremos estrechos vinculos matematicas computacion razonamiento,/fondoCartas/img5.jpg
9,Seguridad  en el Ciclo  de Desarrollo  de Software,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"En la actualidad se presenta un sin numero de incidentes informaticos debidos en gran medida a software construido sin una perspectiva de seguridad. Estos incidentes pueden tener impactos significativos tanto para las organizaciones como para sus usuarios, llegando a ser determinantes para la continuidad operativa de una empresa . Ya sea que una organizacion desarrolle su propio software o lo adquiera, es crucial comprender como tener un software con una superficie de ataque lo mas reducida posible para evitar poner en riesgo los demas activos de informacion de la organizacion. El proposito de este curso es formar estudiantes con capacidades tecnicas que les permitan apoyar labores propias de un ciclo de desarrollo del software seguro, las cuales incluyen al menos diseno, identificacion de requerimientos, implementacion, pruebas, puesta a produccion, mantenimiento y disposicion final. El objetivo de este curso es dar a conocer buenas practicas en los procesos de desarrollo o adquisicion de software seguro con el fin de construir aplicativos que cumplen requerimientos de seguridad (disponibilidad, confidencialidad, integridad, registro, no repudio, gobierno, autenticidad y cumplimiento).",X,,Programa,actualidad presenta numero incidentes informaticos debidos gran medida software construido perspectiva seguridad incidentes pueden tener impactos significativos organizaciones usuarios llegando ser determinantes continuidad operativa empresa organizacion desarrolle propio software adquiera crucial comprender tener software superficie ataque mas reducida posible evitar poner riesgo demas activos informacion organizacion proposito curso formar estudiantes capacidades tecnicas permitan apoyar labores propias ciclo desarrollo software seguro cuales incluyen menos diseño identificacion requerimientos implementacion pruebas puesta produccion mantenimiento disposicion final objetivo curso dar conocer buenas practicas procesos desarrollo adquisicion software seguro fin construir aplicativos cumplen requerimientos seguridad (disponibilidad confidencialidad integridad registro repudio gobierno autenticidad cumplimiento),/fondoCartas/img3.jpg
10,Fisica I,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,EICT,"Este es un curso que presenta los conceptos basicos de la mecanica Newtoniana asumiendo conocimientos en calculo diferencial, integral y rudimentos de calculo vectorial. El curso presenta inicialmente los conceptos centrales de la mecanica clasica como tra yectoria, momento, fuerza, trabajo, energia y las leyes de conservacion en fisica en el contexto de la mecanica clasica. Al final del curso se presentan algunos fundamentos de la mecanica de fluidos como densidad, viscosidad, presion y ecuacion de Bernoulli.",X,,Programa,curso presenta conceptos basicos mecanica newtoniana asumiendo conocimientos calculo diferencial integral rudimentos calculo vectorial curso presenta inicialmente conceptos centrales mecanica clasica tra yectoria momento fuerza trabajo energia leyes conservacion fisica contexto mecanica clasica final curso presentan fundamentos mecanica fluidos densidad viscosidad presion ecuacion bernoulli,/fondoCartas/img7.jpg
11,Analisis avanzado de datos,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este curso presenta modelos estadisticos avanzados para el ana lisis de datos. El curso cubre generalizaciones al modelo de regresion lineal que permiten mayor flexibilidad de estimacion. El curso tambien introduce modelos de datos estructurados y variables latentes, asi como modelos para el analisis de datos dependientes. El curso busca formar al estudiante en metodos estadisticos avanzados para el analisis de datos, considerando sus fundamentos teoricos y sus aplicaciones",X,,Programa,curso presenta modelos estadisticos avanzados ana lisis datos curso cubre generalizaciones modelo regresion lineal permiten mayor flexibilidad estimacion curso tambien introduce modelos datos estructurados variables latentes asi modelos analisis datos dependientes curso busca formar estudiante metodos estadisticos avanzados analisis datos considerando fundamentos teoricos aplicaciones,/fondoCartas/img9.jpg
12,Probabilidad y estadistica 2,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"La asignatura de probabilidad y estadistica es indispensable como herramienta para el planteamiento y solucion de problemas, y como complemento de otras areas del saber. Ofrece al estudiante la formacion basica necesaria conceptual y practica para la recol eccion, organizacion manejo de los datos e informacion, su analisis e interpretacion, su modelamiento y su aplicacion, contribuyendo en la toma de decisiones en los campos de accion propios del egresado Rosarista. Este curso hace enfasis en fundamentos probabilisticos de herramientas de modelamiento matematico y estadistico, permitiendo al estudiante comprender a profundidad resultados fundamentales de la teoria de probabilidad y sus aplicaciones.",X,,Programa,asignatura probabilidad estadistica indispensable herramienta planteamiento solucion problemas complemento areas saber ofrece estudiante formacion basica necesaria conceptual practica recol eccion organizacion manejo datos informacion analisis interpretacion modelamiento aplicacion contribuyendo toma decisiones campos accion propios egresado rosarista curso hace enfasis fundamentos probabilisticos herramientas modelamiento matematico estadistico permitiendo estudiante comprender profundidad resultados fundamentales teoria probabilidad aplicaciones,/fondoCartas/img4.jpg
13,Optimizacion,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Es un curso con un alto valor formativo, que es una puerta de entrada a uno de los campos mas exigentes y de gran aplicacion en el sector industrial y servicios: la optimizacion. Incluye una introduccion al curso, al analisis convexo, un tratamiento formal de la programacion lineal, el metodo simplex, la teoria de la dualidad y su interpretacion economica , analisis de sensibilidad para luego abordar la programacion lineal entera y sus metodos de solucion, asi como la programacion lineal multiobjetivo.",X,,Programa,curso alto valor formativo puerta entrada campos mas exigentes gran aplicacion sector industrial servicios optimizacion incluye introduccion curso analisis convexo tratamiento formal programacion lineal metodo simplex teoria dualidad interpretacion economica analisis sensibilidad luego abordar programacion lineal entera metodos solucion asi programacion lineal multiobjetivo,/fondoCartas/img5.jpg
14,Diseno de Sistemas Digitales,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,EICT,"Este curso cubre el diseno e implementacion de circuitos digitales. La primera parte del curso desarrolla el analisis y diseno de circuitos digitales combinacionales y secuenciales, en la segunda parte estudia el diseno digital con base en dos lenguajes de descripcion de hardware (Ver ilog y VHDL), y la tercera parte estudia los dialectos de diferentes arquitecturas. Este curso tiene un alto contenido practico y desarrolla habilidades para disenar e implementar requerimientos basados en metodos y tecnologias digitales. Este curso teorico -practico, tiene el componente practico basado en el analisis intuitivo y visual de los diferentes proyectos planteados en laboratorio, y asi crear una experiencia muy significativa en el diseno de circuitos electronicos. Por consiguiente, este curs o esta orientado a traves de tres modulos didacticos que permiten construir habilidades que le permiten al estudiante enfrentarse a problemas de diseno electronico.",X,,Programa,curso cubre diseño implementacion circuitos digitales primera parte curso desarrolla analisis diseño circuitos digitales combinacionales secuenciales segunda parte estudia diseño digital base dos lenguajes descripcion hardware (ver ilog vhdl) tercera parte estudia dialectos diferentes arquitecturas curso alto contenido practico desarrolla habilidades diseñar implementar requerimientos basados metodos tecnologias digitales curso teorico -practico componente practico basado analisis intuitivo visual diferentes proyectos planteados laboratorio asi crear experiencia significativa diseño circuitos electronicos consiguiente curs orientado traves tres modulos didacticos permiten construir habilidades permiten estudiante enfrentarse problemas diseño electronico,/fondoCartas/img8.jpg
15,Big Data,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este curso presenta los fundamentos de las plataformas de Big Data, sus principios de diseno, implementacion y operacion. El curso busca que el estudiante este en capacidad de disenar, implementar y operar plataformas de Big Data para el consumo, almacenamiento y procesamiento de grandes cantidades de datos. El curso busca tanto que el estu diante comprenda los principios de diseno de las plataformas de Big Data, como que este en capacidad de instalar plataformas ampliamente usadas actualmente incluyendo todas las capas de software asociadas. El curso busca desarrollar habilidades en el estudiante para implementar plataformas de Big Data, incluyendo capacidades de analisis de datos en lotes y en linea. Se busca que el estudiante comprenda tanto los principios de diseno de una plataforma de Big Data como que este en capacidad de incorporar este tipo de plataformas en productos de ciencia de datos.",X,,Programa,curso presenta fundamentos plataformas big data principios diseño implementacion operacion curso busca estudiante capacidad diseñar implementar operar plataformas big data consumo almacenamiento procesamiento grandes cantidades datos curso busca estu diante comprenda principios diseño plataformas big data capacidad instalar plataformas ampliamente usadas actualmente incluyendo todas capas software asociadas curso busca desarrollar habilidades estudiante implementar plataformas big data incluyendo capacidades analisis datos lotes linea busca estudiante comprenda principios diseño plataforma big data capacidad incorporar tipo plataformas productos ciencia datos,/fondoCartas/img1.jpg
16,Control,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"El control hace parte fundamental de la automatizacion de procesos en cualquier sector de la industria , control de micro climas, prototipos biomedicos, robotica, entre otros sectores productivos, en los que se busca generar crecimiento y competitividad a nivel empresarial. El Ingeniero(a) Electronico(a) debe ser un (a) profesional integral capacitado para enfrentarse a estos avances del diario vivir. Del mismo modo que pueda tener la capacidad de discernir, transformar y generar ideas, las cuales deben aportar al desarrollo del entorno, como a cualquier sector en donde se puede aplicar el conocimiento propio de las tecnicas y teorias del control . El curso busca:",X,,Programa,control hace parte fundamental automatizacion procesos cualquier sector industria control micro climas prototipos biomedicos robotica sectores productivos busca generar crecimiento competitividad nivel empresarial ingeniero(a) electronico(a) debe ser (a) profesional integral capacitado enfrentarse avances diario vivir mismo modo pueda tener capacidad discernir transformar generar ideas cuales deben aportar desarrollo entorno cualquier sector puede aplicar conocimiento propio tecnicas teorias control curso busca,/fondoCartas/img4.jpg
17,Logistica,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"Este curso tiene como objetivo introducir en los conceptos de cadena de abastecimiento, su diseno, caracterizacion y gestion, asi como abordar diferentes operaciones logisticas que se llevan a cabo a lo largo de cadena. El curso inicia con la introduccion a las cadenas de suministro y conceptos basicos asociados, asi como los tipos de flujos presentes en la s cadenas y los tipos de cadenas de suministro. Luego se abordara la gestion del aprovisionamiento y seleccion de proveedores . Posteriormente se abordaran decisiones de localizacion de instalaciones, gestion de inventarios, ruteo y distribucion.",X,,Programa,curso objetivo introducir conceptos cadena abastecimiento diseño caracterizacion gestion asi abordar diferentes operaciones logisticas llevan cabo largo cadena curso inicia introduccion cadenas suministro conceptos basicos asociados asi tipos flujos presentes cadenas tipos cadenas suministro luego abordara gestion aprovisionamiento seleccion proveedores posteriormente abordaran decisiones localizacion instalaciones gestion inventarios ruteo distribucion,/fondoCartas/img5.jpg
18,Foundation  Project,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"Curso introductorio de primer semestre para los programas de Ingenieria electronica, Ingenieria de sistemas energeticos e Ingenieria Industrial. Este curso esta disenado para proporcionar a los estudiantes una comprension integral de los principios de modelado",X,,Programa,curso introductorio primer semestre programas ingenieria electronica ingenieria sistemas energeticos ingenieria industrial curso diseñado proporcionar estudiantes comprension integral principios modelado,/fondoCartas/img6.jpg
19,Pensamiento matematico,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"A lo largo de la carrera el estudiante debe manejar y manipular ciertas herramientas basicas del algebra; el proposito del presente curso es fortalecer dichas herramientas con el fin de mejorar el desempeno de los estudiantes en posteriores asignaturas, asi como iniciar a los estudiantes en la demos tracion a traves del manejo y la comprension de la estructura axiomatica de los numeros reales. Adicionalmente, se pretende fortalecer la constancia y los buenos habitos de estudio, considerando al estudiante como el actor principal de su aprendizaje, anim ando su participacion activa y la progresion a un ritmo individualizado.",X,,Programa,largo carrera estudiante debe manejar manipular ciertas herramientas basicas algebra proposito presente curso fortalecer dichas herramientas fin mejorar desempeño estudiantes posteriores asignaturas asi iniciar estudiantes demos tracion traves manejo comprension estructura axiomatica numeros reales adicionalmente pretende fortalecer constancia buenos habitos estudio considerando estudiante actor principal aprendizaje anim ando participacion activa progresion ritmo individualizado,/fondoCartas/img6.jpg
20,Fisica 3,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"En el desarrollo y aplicacion de las diferentes ramas de la ingenieria es fundamental que los profesionales cuenten con conocimientos solidos en los fenomenos fisicos que dominan las diferentes ramas de la ingenieria. En el caso especifico de Ingenieria El ectronica e Ingenieria en Sistemas de Energia, los fenomenos descritos bajo la rama de la fisica moderna propuestos durante el siglo XX cobran sentido con el desarrollo de nuevas tecnologias y aportan a la formacion de profesionales capaces de enfrentar lo s nuevos retos asociados a su masificacion. El curso Fisica III es el tercer y ultimo curso del ciclo de Fisicas y tiene un caracter teorico practico. El contenido cubre de manera introductoria los fundamentos de la mecanica cuantica y la fisica relativista dando explicacion a fenomenos microscopico s y su aplicacion en nuevos desarrollos tecnologicos.",X,,Programa,desarrollo aplicacion diferentes ramas ingenieria fundamental profesionales cuenten conocimientos solidos fenomenos fisicos dominan diferentes ramas ingenieria caso especifico ingenieria ectronica ingenieria sistemas energia fenomenos descritos bajo rama fisica moderna propuestos siglo cobran sentido desarrollo nuevas tecnologias aportan formacion profesionales capaces enfrentar nuevos retos asociados masificacion curso fisica iii tercer ultimo curso ciclo fisicas caracter teorico practico contenido cubre manera introductoria fundamentos mecanica cuantica fisica relativista dando explicacion fenomenos microscopico aplicacion nuevos desarrollos tecnologicos,/fondoCartas/img7.jpg
21,Fundamentos de  electronica analoga,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"El curso cubre aspectos teoricos y practicos fundamentales de los principales dispositivos electronicos semiconductores y su rol en diversos circuitos de electronica analoga. En el transcurso del curso, los estudiantes aprenderan como funcionan y se usan los diodos, transistores y amplificadores operacionales, dispositivos en los que se fundamenta la ingenieria electronica. En terminos generales el curso busca:",X,,Programa,curso cubre aspectos teoricos practicos fundamentales principales dispositivos electronicos semiconductores rol diversos circuitos electronica analoga transcurso curso estudiantes aprenderan funcionan usan diodos transistores amplificadores operacionales dispositivos fundamenta ingenieria electronica terminos generales curso busca,/fondoCartas/img10.jpg
22,Introduccion al procesamiento de  Lenguaje Natural,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Direccion Academica En este curso los estudiantes aprenderan los elementos basicos que conforman un sistema de procesamiento de lenguaje natural, asi mismo como algunos metodos utilizados en este campo.",X,,Programa,direccion academica curso estudiantes aprenderan elementos basicos conforman sistema procesamiento lenguaje natural asi mismo metodos utilizados campo,/fondoCartas/img10.jpg
23,Variable  compleja,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"En este curso se aborda la estructura de los numeros complejos, las funciones de variable compleja, analiticas y elementales, la integral compleja y de Cauchy y sus propiedades. Brinda al alumno elementos fundamentales para un desempeno agil y eficiente en conceptos propios de ecuaciones diferenciales, analisis numerico, probabilidad, estadistica, fisica matematica y un amplio campo de trabajo en matematicas puras y aplicadas.",X,,Programa,curso aborda estructura numeros complejos funciones variable compleja analiticas elementales integral compleja cauchy propiedades brinda alumno elementos fundamentales desempeño agil eficiente conceptos propios ecuaciones diferenciales analisis numerico probabilidad estadistica fisica matematica amplio campo trabajo matematicas puras aplicadas,/fondoCartas/img10.jpg
24,Fundamentos de manufactura de sistemas   mecatronicos,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"Actualmente, los sistemas que combinan el diseno mecanico con procesos de automatizacion han tomado un papel relevante en el desarrollo del ser humano, convirtiendose en parte fundamental de la industria y de la sociedad en general . Estos sistemas han llevado a diferentes disciplinas, como las ciencias de la computacion , las ingenierias o las ciencias economicas , a vincularse activamente en el desarrollo y manipulacion de este tipo de tecnologias; s in embargo, existen brechas de conocimiento , respecto a sof tware y hardware, que dificultan esta interaccion. Este curso teorico -practico permitira a los estudiantes tener un acercamiento introductorio a herramienta s y tecnologias de diseno mecanico y electronico, formando una idea general sobre la manufactura de sistemas mecatronicos. Para ello , se explicaran conceptos basicos en clases magistrales que seran posteriormente aplicados en las practicas de laboratorio y en el proyecto final del curso .",X,,Programa,actualmente sistemas combinan diseño mecanico procesos automatizacion tomado papel relevante desarrollo ser humano convirtiendose parte fundamental industria sociedad general sistemas llevado diferentes disciplinas ciencias computacion ingenierias ciencias economicas vincularse activamente desarrollo manipulacion tipo tecnologias embargo existen brechas conocimiento respecto sof tware hardware dificultan interaccion curso teorico -practico permitira estudiantes tener acercamiento introductorio herramienta tecnologias diseño mecanico electronico formando idea general manufactura sistemas mecatronicos ello explicaran conceptos basicos clases magistrales seran posteriormente aplicados practicas laboratorio proyecto final curso,/fondoCartas/img4.jpg
25,Geometria Computacional Y Diferencial,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este curso es una introduccion, a nivel de pregrado, de las tecnicas basicas usadas en el diseno, implementacion y analisis de algoritmos geometricos. Estos algoritmos tienen como objetivo la solucion de problemas computacionales que pueden ser enunciados o transformados en terminos geometricos. Como ejemplos estan los problemas de convexidad, triangulacion, barrido, particionamiento, busqueda de rangos y localizacion de puntos, entre otros. Tambien se consideraran estructuras de datos que permiten la solucion eficiente a diferentes problemas geometricos. La discusion de todos los temas explorados en el curso sera siempre motivada por problemas de aplicacion reales. En la parte final del curso se introduciran los conceptos, metodos y resultados basicos de la geometria diferencial, con especial enfasis en la geometria clasica de superficies. Se estudiaran los objetos geometricos en dimensiones bajas, curvas y superficies del espacio euclideo, que admiten, localmente, una aproximacion lineal. Este hecho permite que la herramienta adecuada para su estudio y la elaboracion de los conceptos relacionados sea el calculo diferencial, y, casi como una consecuencia, el algebra lineal y la topologia.",X,,Programa,curso introduccion nivel pregrado tecnicas basicas usadas diseño implementacion analisis algoritmos geometricos algoritmos objetivo solucion problemas computacionales pueden ser enunciados transformados terminos geometricos ejemplos estan problemas convexidad triangulacion barrido particionamiento busqueda rangos localizacion puntos tambien consideraran estructuras datos permiten solucion eficiente diferentes problemas geometricos discusion temas explorados curso sera siempre motivada problemas aplicacion reales parte final curso introduciran conceptos metodos resultados basicos geometria diferencial especial enfasis geometria clasica superficies estudiaran objetos geometricos dimensiones bajas curvas superficies espacio euclideo admiten localmente aproximacion lineal hecho permite herramienta adecuada estudio elaboracion conceptos relacionados calculo diferencial casi consecuencia algebra lineal topologia,/fondoCartas/img9.jpg
26,Aprendizaje automatico de maquina,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este curso introductorio de aprendizaje automatico de maquina aborda el diseno de modelos de clasificacion, regresion , clustering y modelos utilizando redes neuronales. Al final de este curso los estudiantes estaran en la capacidad definir que es aprendizaje automatico de maquinas, disenar, implementar y evaluar algoritmos para clasificacion, regresion o agrupamiento utilizando algoritmos de aprendizaje automatico, incluyendo redes neuronales .",X,,Programa,curso introductorio aprendizaje automatico maquina aborda diseño modelos clasificacion regresion clustering modelos utilizando redes neuronales final curso estudiantes estaran capacidad definir aprendizaje automatico maquinas diseñar implementar evaluar algoritmos clasificacion regresion agrupamiento utilizando algoritmos aprendizaje automatico incluyendo redes neuronales,/fondoCartas/img1.jpg
